program,site,area,tool_id,task_id,task_name,workstream,owner,planned_start,planned_finish,actual_finish,status,gate,depends_on,risk_level,notes
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10294,DI water hookup,Facilities,IT/Network,2025-11-12,2025-11-16,2025-11-22,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10295,Tool delivered to dock,SupplyChain,Controls Eng,2025-11-15,2025-11-25,,In Progress,Install,Layout approval,High,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10296,Rigging scheduled,SupplyChain,Supplier Mgmt,2025-11-18,2025-11-26,,In Progress,Install,Tool delivered to dock,High,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10297,Install tool in bay,Hardware,Controls Eng,2025-11-21,2025-11-28,2025-12-02,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10298,EHS walkdown,EHS,Mech Eng,2025-11-24,2025-11-27,2025-11-27,Done,Install,Install tool in bay,High,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10299,PLC flash + config,Controls,Supplier Mgmt,2025-11-27,2025-11-29,2025-11-27,Done,PowerOn,"Install tool in bay,Network VLAN approved",Medium,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10300,IO checkout,Controls,Supplier Mgmt,2025-11-30,2025-12-07,2025-12-08,Done,PowerOn,PLC flash + config,High,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10301,Safety interlock validation,Controls,Controls Eng,2025-12-03,2025-12-05,,In Progress,PowerOn,IO checkout,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10302,Dry run cycle,Controls,Supplier Mgmt,2025-12-06,2025-12-15,,In Progress,Comm,Safety interlock validation,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10303,Process baseline run,Hardware,Facilities Eng,2025-12-09,2025-12-14,2025-12-14,Done,Comm,Dry run cycle,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10304,SAT dry-run,Hardware,Facilities Eng,2025-12-12,2025-12-18,,In Progress,SAT,"Process baseline run,EHS walkdown",High,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10305,SAT acceptance,Hardware,Supplier Mgmt,2025-12-15,2025-12-18,,Blocked,SAT,SAT dry-run,High,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10306,Layout approval,Facilities,Mech Eng,2025-10-19,2025-10-29,2025-11-04,Done,Install,,High,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10307,Civil/anchoring check,Facilities,IT/Network,2025-10-22,2025-10-24,2025-10-27,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10308,Power drop install,Facilities,Mech Eng,2025-10-25,2025-11-01,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10309,Network VLAN approved,IT/Network,Controls Eng,2025-10-28,2025-11-06,2025-11-06,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10310,Exhaust hookup,Facilities,Mech Eng,2025-10-31,2025-11-03,2025-10-31,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10311,CDA hookup,Facilities,IT/Network,2025-11-03,2025-11-09,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10312,DI water hookup,Facilities,IT/Network,2025-11-06,2025-11-16,2025-11-20,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10313,Tool delivered to dock,SupplyChain,Facilities Eng,2025-11-09,2025-11-17,2025-11-20,Done,Install,Layout approval,High,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10314,Rigging scheduled,SupplyChain,IT/Network,2025-11-12,2025-11-22,2025-11-19,Done,Install,Tool delivered to dock,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10315,Install tool in bay,Hardware,IT/Network,2025-11-15,2025-11-26,2025-11-27,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",High,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10316,EHS walkdown,EHS,Mech Eng,2025-11-18,2025-11-28,,In Progress,Install,Install tool in bay,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10317,PLC flash + config,Controls,IT/Network,2025-11-21,2025-11-27,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10318,IO checkout,Controls,Facilities Eng,2025-11-24,2025-11-26,2025-11-25,Done,PowerOn,PLC flash + config,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10319,Safety interlock validation,Controls,Supplier Mgmt,2025-11-27,2025-12-08,,Blocked,PowerOn,IO checkout,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10320,Dry run cycle,Controls,Mech Eng,2025-11-30,2025-12-08,,In Progress,Comm,Safety interlock validation,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10321,Process baseline run,Hardware,IT/Network,2025-12-03,2025-12-12,,Blocked,Comm,Dry run cycle,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10322,SAT dry-run,Hardware,Mech Eng,2025-12-06,2025-12-13,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Orion-Ramp,Fremont,Bay-1,T-OR-08,FT-10323,SAT acceptance,Hardware,Supplier Mgmt,2025-12-09,2025-12-19,2025-12-25,Done,SAT,SAT dry-run,High,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10324,Layout approval,Facilities,Mech Eng,2025-09-28,2025-10-02,2025-09-30,Done,Install,,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10325,Civil/anchoring check,Facilities,Supplier Mgmt,2025-10-01,2025-10-07,2025-10-12,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10326,Power drop install,Facilities,EHS,2025-10-04,2025-10-12,2025-10-19,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10327,Network VLAN approved,IT/Network,IT/Network,2025-10-07,2025-10-10,2025-10-08,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10328,Exhaust hookup,Facilities,Supplier Mgmt,2025-10-10,2025-10-14,2025-10-12,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10329,CDA hookup,Facilities,EHS,2025-10-13,2025-10-17,2025-10-19,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10330,DI water hookup,Facilities,Supplier Mgmt,2025-10-16,2025-10-18,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10331,Tool delivered to dock,SupplyChain,EHS,2025-10-19,2025-10-24,2025-10-21,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10332,Rigging scheduled,SupplyChain,Supplier Mgmt,2025-10-22,2025-10-28,2025-11-04,Done,Install,Tool delivered to dock,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10333,Install tool in bay,Hardware,Mech Eng,2025-10-25,2025-11-05,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10334,EHS walkdown,EHS,Mech Eng,2025-10-28,2025-11-05,2025-11-03,Done,Install,Install tool in bay,High,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10335,PLC flash + config,Controls,Facilities Eng,2025-10-31,2025-11-11,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10336,IO checkout,Controls,IT/Network,2025-11-03,2025-11-11,,Blocked,PowerOn,PLC flash + config,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10337,Safety interlock validation,Controls,Mech Eng,2025-11-06,2025-11-08,,Blocked,PowerOn,IO checkout,Low,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10338,Dry run cycle,Controls,EHS,2025-11-09,2025-11-16,,In Progress,Comm,Safety interlock validation,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10339,Process baseline run,Hardware,Supplier Mgmt,2025-11-12,2025-11-18,2025-11-16,Done,Comm,Dry run cycle,Medium,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10340,SAT dry-run,Hardware,IT/Network,2025-11-15,2025-11-22,,Blocked,SAT,"Process baseline run,EHS walkdown",High,
Orion-Ramp,Fremont,Bay-1,T-OR-09,FT-10341,SAT acceptance,Hardware,Controls Eng,2025-11-18,2025-11-20,,Blocked,SAT,SAT dry-run,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10342,Layout approval,Facilities,Facilities Eng,2025-09-23,2025-09-27,2025-09-30,Done,Install,,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10343,Civil/anchoring check,Facilities,Mech Eng,2025-09-26,2025-10-01,2025-10-01,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10344,Power drop install,Facilities,Facilities Eng,2025-09-29,2025-10-10,2025-10-12,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10345,Network VLAN approved,IT/Network,EHS,2025-10-02,2025-10-05,,In Progress,Install,Layout approval,High,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10346,Exhaust hookup,Facilities,IT/Network,2025-10-05,2025-10-16,2025-10-18,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10347,CDA hookup,Facilities,EHS,2025-10-08,2025-10-10,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10348,DI water hookup,Facilities,Mech Eng,2025-10-11,2025-10-18,2025-10-21,Done,Install,Layout approval,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10349,Tool delivered to dock,SupplyChain,IT/Network,2025-10-14,2025-10-24,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10350,Rigging scheduled,SupplyChain,IT/Network,2025-10-17,2025-10-28,2025-10-29,Done,Install,Tool delivered to dock,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10351,Install tool in bay,Hardware,Controls Eng,2025-10-20,2025-10-24,2025-10-27,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10352,EHS walkdown,EHS,Supplier Mgmt,2025-10-23,2025-10-30,2025-11-02,Done,Install,Install tool in bay,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10353,PLC flash + config,Controls,EHS,2025-10-26,2025-10-30,2025-11-06,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10354,IO checkout,Controls,Controls Eng,2025-10-29,2025-11-09,,In Progress,PowerOn,PLC flash + config,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10355,Safety interlock validation,Controls,Supplier Mgmt,2025-11-01,2025-11-12,2025-11-19,Done,PowerOn,IO checkout,Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10356,Dry run cycle,Controls,Controls Eng,2025-11-04,2025-11-07,,Blocked,Comm,Safety interlock validation,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10357,Process baseline run,Hardware,Supplier Mgmt,2025-11-07,2025-11-10,,In Progress,Comm,Dry run cycle,Low,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10358,SAT dry-run,Hardware,EHS,2025-11-10,2025-11-19,,In Progress,SAT,"Process baseline run,EHS walkdown",Medium,
Orion-Ramp,Austin,Bay-7,T-OR-10,FT-10359,SAT acceptance,Hardware,Facilities Eng,2025-11-13,2025-11-18,,Blocked,SAT,SAT dry-run,Medium,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10360,Layout approval,Facilities,Mech Eng,2025-09-18,2025-09-25,,In Progress,Install,,High,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10361,Civil/anchoring check,Facilities,Controls Eng,2025-09-21,2025-09-28,,In Progress,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10362,Power drop install,Facilities,Controls Eng,2025-09-24,2025-09-27,2025-09-30,Done,Install,Layout approval,High,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10363,Network VLAN approved,IT/Network,EHS,2025-09-27,2025-10-02,2025-10-02,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10364,Exhaust hookup,Facilities,Mech Eng,2025-09-30,2025-10-10,2025-10-07,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10365,CDA hookup,Facilities,Facilities Eng,2025-10-03,2025-10-10,2025-10-12,Done,Install,Layout approval,Medium,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10366,DI water hookup,Facilities,Supplier Mgmt,2025-10-06,2025-10-14,2025-10-19,Done,Install,Layout approval,Medium,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10367,Tool delivered to dock,SupplyChain,Facilities Eng,2025-10-09,2025-10-20,2025-10-24,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10368,Rigging scheduled,SupplyChain,Facilities Eng,2025-10-12,2025-10-19,,In Progress,Install,Tool delivered to dock,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10369,Install tool in bay,Hardware,EHS,2025-10-15,2025-10-22,2025-10-29,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10370,EHS walkdown,EHS,Controls Eng,2025-10-18,2025-10-27,,In Progress,Install,Install tool in bay,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10371,PLC flash + config,Controls,Facilities Eng,2025-10-21,2025-10-24,2025-10-30,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10372,IO checkout,Controls,Controls Eng,2025-10-24,2025-11-04,,Blocked,PowerOn,PLC flash + config,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10373,Safety interlock validation,Controls,Facilities Eng,2025-10-27,2025-11-07,,In Progress,PowerOn,IO checkout,High,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10374,Dry run cycle,Controls,Mech Eng,2025-10-30,2025-11-06,,In Progress,Comm,Safety interlock validation,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10375,Process baseline run,Hardware,IT/Network,2025-11-02,2025-11-05,2025-11-10,Done,Comm,Dry run cycle,Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10376,SAT dry-run,Hardware,Supplier Mgmt,2025-11-05,2025-11-07,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Nova-Upgrade,SCC-Lab,Bay-7,T-NO-01,FT-10377,SAT acceptance,Hardware,Controls Eng,2025-11-08,2025-11-15,2025-11-15,Done,SAT,SAT dry-run,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10378,Layout approval,Facilities,Supplier Mgmt,2025-09-18,2025-09-28,2025-10-04,Done,Install,,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10379,Civil/anchoring check,Facilities,Facilities Eng,2025-09-21,2025-09-29,2025-10-02,Done,Install,Layout approval,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10380,Power drop install,Facilities,Facilities Eng,2025-09-24,2025-10-02,2025-10-08,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10381,Network VLAN approved,IT/Network,IT/Network,2025-09-27,2025-10-05,,In Progress,Install,Layout approval,High,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10382,Exhaust hookup,Facilities,Facilities Eng,2025-09-30,2025-10-05,2025-10-04,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10383,CDA hookup,Facilities,EHS,2025-10-03,2025-10-14,,In Progress,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10384,DI water hookup,Facilities,Supplier Mgmt,2025-10-06,2025-10-11,2025-10-16,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10385,Tool delivered to dock,SupplyChain,Supplier Mgmt,2025-10-09,2025-10-20,,In Progress,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10386,Rigging scheduled,SupplyChain,Mech Eng,2025-10-12,2025-10-21,,In Progress,Install,Tool delivered to dock,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10387,Install tool in bay,Hardware,Controls Eng,2025-10-15,2025-10-20,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10388,EHS walkdown,EHS,EHS,2025-10-18,2025-10-26,2025-10-30,Done,Install,Install tool in bay,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10389,PLC flash + config,Controls,Facilities Eng,2025-10-21,2025-10-25,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",High,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10390,IO checkout,Controls,Facilities Eng,2025-10-24,2025-11-04,2025-11-04,Done,PowerOn,PLC flash + config,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10391,Safety interlock validation,Controls,IT/Network,2025-10-27,2025-11-04,2025-11-10,Done,PowerOn,IO checkout,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10392,Dry run cycle,Controls,Supplier Mgmt,2025-10-30,2025-11-04,2025-11-07,Done,Comm,Safety interlock validation,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10393,Process baseline run,Hardware,EHS,2025-11-02,2025-11-04,2025-11-05,Done,Comm,Dry run cycle,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10394,SAT dry-run,Hardware,Facilities Eng,2025-11-05,2025-11-07,2025-11-06,Done,SAT,"Process baseline run,EHS walkdown",High,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-02,FT-10395,SAT acceptance,Hardware,Supplier Mgmt,2025-11-08,2025-11-18,2025-11-15,Done,SAT,SAT dry-run,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10396,Layout approval,Facilities,EHS,2025-10-12,2025-10-23,2025-10-20,Done,Install,,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10397,Civil/anchoring check,Facilities,Controls Eng,2025-10-15,2025-10-23,2025-10-26,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10398,Power drop install,Facilities,Controls Eng,2025-10-18,2025-10-21,2025-10-23,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10399,Network VLAN approved,IT/Network,Mech Eng,2025-10-21,2025-10-26,2025-11-01,Done,Install,Layout approval,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10400,Exhaust hookup,Facilities,Mech Eng,2025-10-24,2025-10-27,2025-11-02,Done,Install,Layout approval,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10401,CDA hookup,Facilities,EHS,2025-10-27,2025-11-02,2025-11-04,Done,Install,Layout approval,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10402,DI water hookup,Facilities,Facilities Eng,2025-10-30,2025-11-06,2025-11-08,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10403,Tool delivered to dock,SupplyChain,Mech Eng,2025-11-02,2025-11-07,2025-11-11,Done,Install,Layout approval,High,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10404,Rigging scheduled,SupplyChain,Controls Eng,2025-11-05,2025-11-07,,Blocked,Install,Tool delivered to dock,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10405,Install tool in bay,Hardware,IT/Network,2025-11-08,2025-11-16,2025-11-18,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",High,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10406,EHS walkdown,EHS,Facilities Eng,2025-11-11,2025-11-13,2025-11-17,Done,Install,Install tool in bay,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10407,PLC flash + config,Controls,IT/Network,2025-11-14,2025-11-16,2025-11-15,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10408,IO checkout,Controls,IT/Network,2025-11-17,2025-11-21,,In Progress,PowerOn,PLC flash + config,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10409,Safety interlock validation,Controls,IT/Network,2025-11-20,2025-11-22,2025-11-26,Done,PowerOn,IO checkout,Medium,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10410,Dry run cycle,Controls,Controls Eng,2025-11-23,2025-11-28,,Blocked,Comm,Safety interlock validation,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10411,Process baseline run,Hardware,EHS,2025-11-26,2025-12-02,,In Progress,Comm,Dry run cycle,Low,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10412,SAT dry-run,Hardware,Facilities Eng,2025-11-29,2025-12-10,,In Progress,SAT,"Process baseline run,EHS walkdown",High,
Nova-Upgrade,Hillsboro,Bay-1,T-NO-03,FT-10413,SAT acceptance,Hardware,IT/Network,2025-12-02,2025-12-08,,In Progress,SAT,SAT dry-run,Medium,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10414,Layout approval,Facilities,Controls Eng,2025-10-20,2025-10-23,2025-10-30,Done,Install,,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10415,Civil/anchoring check,Facilities,IT/Network,2025-10-23,2025-11-02,2025-11-06,Done,Install,Layout approval,High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10416,Power drop install,Facilities,IT/Network,2025-10-26,2025-11-05,,In Progress,Install,Layout approval,High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10417,Network VLAN approved,IT/Network,Mech Eng,2025-10-29,2025-11-06,2025-11-11,Done,Install,Layout approval,Medium,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10418,Exhaust hookup,Facilities,EHS,2025-11-01,2025-11-04,2025-11-05,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10419,CDA hookup,Facilities,EHS,2025-11-04,2025-11-09,2025-11-16,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10420,DI water hookup,Facilities,Controls Eng,2025-11-07,2025-11-14,,In Progress,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10421,Tool delivered to dock,SupplyChain,Mech Eng,2025-11-10,2025-11-14,2025-11-17,Done,Install,Layout approval,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10422,Rigging scheduled,SupplyChain,EHS,2025-11-13,2025-11-19,2025-11-23,Done,Install,Tool delivered to dock,High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10423,Install tool in bay,Hardware,EHS,2025-11-16,2025-11-22,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10424,EHS walkdown,EHS,Controls Eng,2025-11-19,2025-11-30,2025-11-27,Done,Install,Install tool in bay,Medium,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10425,PLC flash + config,Controls,Controls Eng,2025-11-22,2025-11-29,2025-11-28,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10426,IO checkout,Controls,Mech Eng,2025-11-25,2025-12-01,,In Progress,PowerOn,PLC flash + config,High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10427,Safety interlock validation,Controls,Supplier Mgmt,2025-11-28,2025-12-08,,In Progress,PowerOn,IO checkout,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10428,Dry run cycle,Controls,Controls Eng,2025-12-01,2025-12-03,,Blocked,Comm,Safety interlock validation,High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10429,Process baseline run,Hardware,Supplier Mgmt,2025-12-04,2025-12-08,2025-12-09,Done,Comm,Dry run cycle,Low,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10430,SAT dry-run,Hardware,Supplier Mgmt,2025-12-07,2025-12-12,2025-12-13,Done,SAT,"Process baseline run,EHS walkdown",High,
Nova-Upgrade,Hillsboro,Bay-8,T-NO-04,FT-10431,SAT acceptance,Hardware,Controls Eng,2025-12-10,2025-12-14,,In Progress,SAT,SAT dry-run,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10432,Layout approval,Facilities,IT/Network,2025-10-17,2025-10-23,2025-10-29,Done,Install,,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10433,Civil/anchoring check,Facilities,Mech Eng,2025-10-20,2025-10-25,,In Progress,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10434,Power drop install,Facilities,Supplier Mgmt,2025-10-23,2025-11-01,2025-10-29,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10435,Network VLAN approved,IT/Network,Mech Eng,2025-10-26,2025-10-31,2025-11-05,Done,Install,Layout approval,High,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10436,Exhaust hookup,Facilities,Mech Eng,2025-10-29,2025-11-02,2025-11-02,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10437,CDA hookup,Facilities,IT/Network,2025-11-01,2025-11-05,2025-11-05,Done,Install,Layout approval,Low,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10438,DI water hookup,Facilities,EHS,2025-11-04,2025-11-06,2025-11-03,Done,Install,Layout approval,Medium,
Nova-Upgrade,SCC-Lab,Bay-5,T-NO-05,FT-10439,Tool delivered to dock,SupplyChain,Facilities Eng,2025-11-07,2025-11-09,2025-11-14,Done,Install,Layout approval,Medium,
